,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Jan,"169,087","176,015","187,538","201,135","190,237","208,765","212,474","210,881","238,890","232,959","257,355","248,426","219,578","237,893"
Feb,"154,943","188,463","170,432","153,589","192,395","186,366","187,051","228,658","193,958","219,573","211,203","202,169","219,624","208,722"
Mar,"194,115","207,363","167,761","187,547","211,221","216,617","224,965","224,832","242,560","259,509","264,282","253,121","255,102","257,191"
Apr,"194,710","197,756","174,920","193,339","219,834","218,544","221,918","217,850","243,715","248,511","253,150","237,131","234,293","237,446"
May,"211,267","217,526","198,609","205,860","243,338","244,215","250,130","260,505","260,378","290,028","276,784","251,621","279,611","265,300"
June,"191,849","197,937","177,076","192,024","225,064","231,046","207,376","218,602","239,043","242,439","245,719","223,390","233,108","228,152"
July,"188,587","187,759","176,664","203,659","228,838","237,984","215,495","237,528","256,444","279,004","274,766","244,890","262,994","248,124"
Aug,"200,611","195,301","162,779","193,808","217,610","229,510","216,656","217,425","256,315","259,556","257,409","228,521","247,719","230,871"
Set,"190,581","184,017","140,649","200,401","209,699","211,664","210,710","211,913","217,687","238,356","249,808","218,522","246,422","228,858"
Oct,"175,734","175,639","183,920","202,888","192,028","217,639","206,348","225,977","253,741","259,355","272,533","256,912","221,593","240,652"
Nov,"205,282","187,726","179,411","205,951","230,869","233,934","238,485","249,839","265,180","265,938","266,969","248,332","253,468","265,668"
Dec,"197,570","187,040","168,003","206,983","208,821","228,208","224,967","218,598","246,572","258,197","252,940","253,295","255,158","234,393"
